term_id,name,slug,description,display_type,parent,thumbnail
380,"СТЕЙК ТА ІНШЕ",stejk,,default,376,
799,ФУНЧОЗА,fynchoza,,default,790,
420,"Перші страви",pershi-stravy,,default,375,
800,СЕТИ,setu-avocado_asiadfood,,default,790,
680,Фастфуд,fastfood-pitseriya-to-to,,default,507,
716,Десерти,deserty-redington,,default,376,
823,"Роли без Рису",roly-bez-rysu,,default,815,
387,"ІТАЛІЙСЬКІ СПАГЕТІ",italijski-spageti,,default,372,
410,Бургер,burger,,default,377,
457,"Основні страви",osnovni-stravy-terasa,,default,452,
652,Пельмені,pelmeni,,default,650,
479,"Консервовані продукти",konservovani-produkty,,default,466,
703,"Хлібобулочні вироби",hlibobulochni-vyroby,,default,446,
555,Салати,salaty-loft,,default,550,
376,REDINGTON,redington,"13:00 - 23:00",default,0,https://tyk-tyk.biz/wp-content/uploads/2023/02/Redington.png
379,"Крайня хата",krajnya-hata,,default,364,
397,ПІЦА,p-i-ts-a-rolex,,default,373,
782,Десерти,desertu,,default,774,
744,Піца,p-i-ts-a-pepperoni-pizza,,default,742,
512,"Паста Фреска",pasta-freska-terasa,,default,452,
421,Салати,salaty-randevu,,default,375,
801,"СУШІ ХОТ - ДОГ",sushi_hot-dog,,default,790,
490,"Гарячі закуски",garyachi,,default,372,
645,"Молочні продукти",molochni-vyroby,,default,446,
801,"СУШІ ХОТ - ДОГ",sushi_hot-dog,,default,790,
490,"Гарячі закуски",garyachi,,default,372,
645,"Молочні продукти",molochni-vyroby,,default,446,
786,Гриль,hrul,,default,742,
425,Додатки,dodatky-central-bbq,,default,377,
550,LOFT,loft,"<span style=""vertical-align: inherit""><span style=""vertical-align: inherit"">11:00 год - 23:00 год</span></span>",default,0,https://tyk-tyk.biz/wp-content/uploads/2020/11/loft-1.png
824,"Запечені роли",zapecheni-roly,,default,815,
581,Пастила,pastyla,,default,364,
653,Чебуреки,chebureky,,default,650,
480,Снеки,sneky-impofood-produkty-z-yevropy,,default,466,
524,ФРІТУРА,fritura,,default,507,
481,"Горіхи та Сухофрукти",gorihy-ta-suhofrukty,,default,466,
739,Пасти,pasty,,default,373,
617,"I LOVE KEBAB",i-love-kebab,"10:00 - 21:00",default,0,https://tyk-tyk.biz/wp-content/uploads/2025/01/IMG_1009-scaled.jpeg
748,"Піци на томатах 50 см",pitsy-na-tomatah-50-sm,,default,742,
603,"Перші страви",pershi-stravy-loft,,default,550,
804,Шаурма,shaurma-avocado_asiadfood,,default,790,
518,ПАСТА,pasta,,default,507,
426,"Гарячі роли в клярі",garyachi-roly-v-klyari,,default,375,
388,ГАРНІРИ,garniry,,default,372,
775,Сніданки,snidanku-avalon,,default,774,
825,Філадельфії,filadelfiyi,,default,815,
429,"Перші страви",pershi-stravy-central-bbq,,default,377,
458,Гарніри,garniry-terasa,,default,452,
582,Фріпси,fripsy,,default,364,
704,"Ковбасні вироби",kovbasni-vyroby,,default,446,
482,"Кава, Чай, Капучіно",kava-chaj-kapuchino,,default,466,
709,Соуси,sousy-minimarket,,default,446,
399,Піца,p-i-ts-a-little-italy,,default,364,
745,"Піци на білому соусі 30 см",pitsy-na-bilomu-sousi,,default,742,
492,"Перші Страви",pershi-stravy-prima-pizza,,default,372,
494,"Додатки до вареників та пельменів",dodatky-do-varenykiv-ta-pelmeniv,,default,375,
456,"Перші страви",pershi-stravy-terasa,,default,452,
606,"Сети (Закуски)",sety-redington-loft,,default,550,
791,"Суші ФІЛАДЕЛЬФІЯ",sushi-avocado_asiadfood,,default,790,
776,Стартери,starteru,,default,774,
826,"Авторські роли",avtorski-roly,,default,815,
392,"ФІРМОВІ СТРАВИ",firmovi-stravy,,default,373,
430,"Традиційні страви",tradytsijni-stravy,,default,377,
482,"Кава, Чай, Капучіно",kava-chaj-kapuchino,,default,466,
709,Соуси,sousy-minimarket,,default,446,
424,МЛИНЧИКИ,mlynchyky,,default,372,
749,"Піци на білому соусі 50 см",pitsy-na-bilomu-sousi-50-sm,,default,742,
495,"Фірмові сети на велику компанію",firmovi-sety-na-velyku-kompaniyu,,default,375,
718,"Перші страви",pershi-stravy-pitseriya-to-to,,default,507,
792,"Суші КАЛIФОРНIЯ",sushi-kaliforniya,,default,790,
459,"До пива",do-pyva,,default,452,
827,"Футо Макі",futo-maki,,default,815,
393,"ДОМАШНІ СТРАВИ",domashni-stravy,,default,373,
431,"Другі страви",drugi-stravy-central-bbq,,default,377,
557,"Холодні закуски",zakusky-holodni-loft,,default,550,
636,"Хот-дог у лаваші",hot-dog-u-lavashi,,default,364,
483,Оцет,otset,,default,466,
708,Кава,kava,,default,446,
742,"PEPPERONI PIZZA",pepperoni-pizza,"10.00 - 22.00",default,0,https://tyk-tyk.biz/wp-content/uploads/2023/07/pepperoni-pizza.png
746,"Піци на томатах 30 см",pitsy-na-tomatah,,default,742,
422,"Холодні та гарячі закуски",holodni-ta-garyachi-zakusky,,default,375,
423,ЗАКУСКИ,zakusky,,default,372,
547,Супи,supy,,default,507,
715,Десерти,deserty,,default,452,
484,"Соуси та Приправи",sousy-ta-prypravy,,default,466,
746,"Піци на томатах 30 см",pitsy-na-tomatah,,default,742,
422,"Холодні та гарячі закуски",holodni-ta-garyachi-zakusky,,default,375,
423,ЗАКУСКИ,zakusky,,default,372,
547,Супи,supy,,default,507,
715,Десерти,deserty,,default,452,
605,"Закуски до пива",zakusky-do-pyva,,default,550,
498,Шаурма,shaurma,,default,364,
628,"Енергетичні напої",garyachi-napoyi-minimarket,,default,446,
722,ДЕСЕРТИ,deserty-prima-pizza,,default,372,
395,ГАРНІРИ,garniry-rolex,,default,373,
559,Соуси,sousy-loft,,default,550,
466,"IMPOFOOD - продукти з європи",impofood-produkty-z-yevropy,"10:00 - 22:00",default,0,https://tyk-tyk.biz/wp-content/uploads/2021/12/impofood.png
485,Напої,napoyi,,default,466,
693,Паштети,pashtety,,default,452,
711,Таксі,taxi_cat,,default,364,
449,Соки,soky,,default,446,
546,Млинці,mlyntsi-pitseriya-to-to,,default,507,
747,"Дитячі піци",dytyachi-pitsy,,default,742,
390,САЛАТИ,salaty-rolex,,default,373,
499,Добавки,dobavky,,default,364,
720,Десерти,deserty-pitseriya-to-to,,default,507,
723,Сніданки,snidanky,,default,452,
724,Десерти,deserty-loft,,default,550,
491,Соуси,sousy-prima-pizza,,default,372,
627,Води,vody,,default,446,
774,AVALON,avalon,"9:00 - 22:00",default,0,https://tyk-tyk.biz/wp-content/uploads/2025/01/IMG_0697.jpg
684,Фастфуд,fastfood-loft,,default,550,
710,ELFBAR,elfbar,,default,446,
644,"Страви з мангалу",stravy-z-mangalu,,default,364,
454,"Холодні закуски",zakusky-holodni,,default,452,
717,"Закуски до пива",zakusky-do-pyva-pitseriya-to-to,,default,507,
427,"Перші страви",pershi-stravy-rolex,,default,373,
684,Фастфуд,fastfood-loft,,default,550,
543,Додатки,dodatky-pitseriya-to-to,,default,507,
698,"Середземноморська кухня",seredzemnomorska-kuhnya,,default,373,
787,Квітень,kviten,"08:00 - 20:00",default,364,https://tyk-tyk.biz/wp-content/uploads/2024/05/photo_2024-05-20_09-21-13.jpg
647,"Добавки до піци",dobavky-do-pitsy,,default,452,
701,Морозиво,morozyvo,,default,446,
364,"Не бажані",zaklady,,products,0,
552,"Додатки до піци",dodatky-do-pitsy,,default,550,
572,ШАУROOM,shauroom,"09:00 - 19:00",default,364,https://tyk-tyk.biz/wp-content/uploads/2023/02/photo_2023-02-15_15-55-00-e1676471248650.jpg
721,"ХОЛОДНІ ЗАКУСКИ",zakusky-holodni-rolex,,default,373,
460,Соуси,sousy-terasa,,default,452,
706,Крупи,krupy,,default,446,
396,СОУСИ,sousy,,default,373,
646,"Макаронні вироби",makaronni-vyroby-minimarket,,default,446,
805,DRINK-MARKET,drink-market,"Елітний алкоголь, різноманітні напої, великий вибір сигарет\стіків, різноманітні снеки, тощо.",default,364,https://tyk-tyk.biz/wp-content/uploads/2024/08/drink-market-tuk-tuk.png
398,ДОДАТКИ,dodatky,,default,373,
712,Доставка,delivery_cat,,default,364,
697,"Їжа швидкого приготування",yizha-shvydkogo-prygotuvannya,,default,446,
702,Консерви,konservy,,default,446,
637,"Perfect Fish",perfect-fish,,default,364,https://tyk-tyk.biz/wp-content/uploads/2021/10/7068476f-a884-4bdc-98b1-01037c5eb802.jpg
707,"Засоби особистої гігієни",zasoby-osobystoyi-gigiyeny,,default,446,
444,"До замовлення",do-zamovlennya,,default,364,
713,Упакування,package_cat,,subcategories,364,
614,"Bee Honey",bee-honey,,default,364,https://tyk-tyk.biz/wp-content/uploads/2021/04/photo_2021-04-18_13-41-45-4.jpg
633,"Бізнес ланч",biznes-lanch,,default,364,
754,Lavanda,lavanda,"Вт-Нд -  12:00 - 21:30

Пн - вихідний",default,364,https://tyk-tyk.biz/wp-content/uploads/2023/08/zobrazhennya_viber_2023-08-16_21-59-53-674.jpg
501,"Грузинський хліб",gruzynskyj-hlib,,default,364,
682,Фастфуд,fastfood-puzatik,,default,364,
462,Фрукти,frukty,,default,364,
486,"Хобі маркет",hobi-market,,default,364,https://tyk-tyk.biz/wp-content/uploads/2020/11/Hobimarket.png
513,"Пивна Затока",pyvna-zatoka,,products,364,https://tyk-tyk.biz/wp-content/uploads/2023/06/Pyvna-Zatoka-150x150-1-e1685626518308.png
377,"CENTRAL BBQ",central-bbq,"Понеділок - Неділя: 12:00 год - 21:30 год",default,364,https://tyk-tyk.biz/wp-content/uploads/2020/11/Central-BBQ.png
374,"Little Italy",little-italy,"13:00 - 21:00",products,364,https://tyk-tyk.biz/wp-content/uploads/2020/11/Little-Italy.png
609,"Мисливський Двір",myslyvskyj-dvir,,default,364,https://tyk-tyk.biz/wp-content/uploads/2021/04/hunting-club-logo_1060-63-1.png
694,"Горячий пельмень",garyachyj-pelmen,,default,364,https://tyk-tyk.biz/wp-content/uploads/2022/01/e8489e51392d7fb9943116324f12798f.jpg
567,"СМАЧНІ СУШІ",smachni-sushi,,default,364,https://tyk-tyk.biz/wp-content/uploads/2020/12/zobrazhennya_viber_2020-12-07_10-19-25.jpg
650,"Beer Club",beer-club,,default,364,https://tyk-tyk.biz/wp-content/uploads/2021/12/beers-g421cb4f44_1280.jpg
530,Династія,dynastiya,"10:00 год - 20:00 год",default,364,https://tyk-tyk.biz/wp-content/uploads/2020/11/Dynastia.png
375,Randevu,randevu,"12:00 - 23:00",default,364,https://tyk-tyk.biz/wp-content/uploads/2020/11/Randeveou.png
588,"Ваш Лаваш",vash-lavash,,default,364,https://tyk-tyk.biz/wp-content/uploads/2019/11/hachapuri.jpg
